ID;TIPO  EXTINTOR;CAPACIDAD;UBICACION;Ultima recarga; Proxima recarga;REVISION 1;REVISION 2;REVISION 3;REVISION 4;FECHA PRUEBA HIDROSTATICA Ultima;FECHA PRUEBA HIDROSTATICA Proxima ;Manómetro bueno;Manómetro malo;Manija bueno;Manija malo;Pasador bueno;Pasador malo;Etiqueta bueno;Etiqueta malo;Pintura bueno;Pintura malo;Cilindro bueno;Cilindro malo;Señalizacion bueno;Señalizacion malo;OBSERVACIONES
66;H2O;2.5 GLS;BODEGA CARTON (BODEGA DE CARTÓN);mar-23;mar-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
67;H2O;2.5 GLS;BODEGA CARTON ZONA 8 (BODEGA DE CARTÓN);ene-23;ene-24;;;;;STOCK;FALTA SEÑALIZAR;X;;X;;X;;X;;X;;X;;X;;
68;H2O;2.5 GLS;BODEGA CARTON SOTANO (BODEGA DE CARTÓN);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
69;H2O;2.5 GLS;BODEGA CARTON SOTANO (BODEGA DE CARTÓN);abr-23;abr-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
70;MULTIPRO;20 LIBRAS ;SERIGRAFIA -TALLER MANTENIMIENTO;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
71;CO2;20 LIBRAS ;BAÑOS SERIGRAFIA  ;mar-23;mar-24;;;X;;REVISAR;;N/A;;X;;X;;X;;X;;X;;X;;
72;CO2;15 LIBRAS;SERIGRAFIA  ;abr-23;abr-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
73;CO2;15 LIBRAS;SERIGRAFIA  (OFICINA DE DISEÑO);ene-23;ene-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
74;H2O;2.5 GLS;SERIGRAFIA  ;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
75;MULTIPRO;20 LIBRAS ;DECORACION;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
76;H2O;2.5 GLS;DECORACION;abr-23;abr-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
77;MULTIPRO;20 LIBRAS ;HORNO11;sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
78;CO2;20 LIBRAS ;HORNO 11;ene-23;ene-24;X;;;;REVISAR;;N/A;;X;;X;;X;;X;;X;;X;;
79;H2O;2.5 GLS;EMPAQUE (ESTANTERIA);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
80;MULTIPRO;20 LIBRAS ;EMPAQUE (OFICINA);sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
81;CO2;20 LIBRAS ;CAFETIN EMPAQUE;ene-23;ene-24;;X;;;;;N/A;;X;;X;;X;;X;;X;;X;;
82;H2O;2.5 GLS;EMPAQUE  ;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
83;H2O;2.5 GLS;EMPAQUE  ;sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
84;H2O;2.5 GLS;EMPAQUE  ;sep-23;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
85;CO2;10 LIBRAS ;EMPAQUE  ;sep-22;sep-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
86;CO2;10 LIBRAS ;MONITOREO ;abr-23;abr-24;;;;x;;;N/A;;X;;X;;X;;X;;X;;X;;
87;CO2;10 LIBRAS ;GESTION HUMANA ;abr-23;abr-24;;;;x;;;N/A;;X;;X;;X;;X;;X;;;X;
88;CO2;10 LIBRAS ;SALA DE VENTAS ;abr-23;abr-24;;;;x;;;N/A;;X;;X;;X;;X;;X;;X;;
89;CO2;10 LIBRAS ;FONDELCO ;abr-23;abr-24;;;;x;;;N/A;;X;;X;;X;;X;;X;;X;;
90;CO2;10 LIBRAS ;RECEPCION EDIFICIO ;abr-23;abr-24;;;;x;;;N/A;;X;;X;;X;;X;;X;;X;;
91;H2O;2.5 GLS;OFICINA EDIFICIO  (2DO PISO);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
92;CO2;10 LIBRAS ;OFICINA EDIFICIO (2DO PISO);feb-23;ene-24;X;;;;;;N/A;;X;;X;;X;;X;;X;;X;;
93;H2O;2.5 GLS;GARAJE GERENCIA ;;;;;;;REVISAR;;X;;X;;X;;X;;X;;X;;X;;
94;CO2;15 LIBRAS;CENTRO DE CAPACITACON ;feb-23;feb-24;;X;;;;;N/A;;X;;X;;X;;X;;X;;X;;
95;MULTIPRO;20 LIBRAS ;CENTRO DE CAPACITACON ;feb-23;feb-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
96;MULTIPRO;10 LIBRAS ;CENTRO DE CAPACITACON ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
97;H2O;2.5 GLS;CENTRO DE CAPACITACON ;jun-23;jun-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
98;MULTIPRO;10 LIBRAS ;EQUIPO DE SOLDADURA (HORNOS);ene-23;ene-24;; ;;;;;X;;X;;X;;X;;X;;X;;X;;
99;MULTIPRO;10 LIBRAS ;EQUIPO DE SOLDADURA (HORNOS);ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
100;CO2;15 LIBRAS;SUBESTACIÓN HORNO 1;sep-22;sep-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
101;H2O;2.5 GLS;EMPAQUE (ESTANTERIA H-1) FRENTE A GARAGE DE GERENCIA ;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;CAMBIAR UNBICACION QUE SEA MAS VISIBLE POR REESTRUCCION
102;MULTIPRO;20 LIBRAS ;PORTERIA SUR (CAF);sep-22;sep-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
103;H2O;2.5 GLS;SALA DE VENTAS CALDAS;ene-23;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
104;CO2;20 LIBRAS ;ESCALAS PELDAR HORNO 6;sep-22;sep-23;;;X;;;;N/A;;X;;X;;X;;X;;X;;X;;
105;MULTIPRO;10 LIBRAS ;COLUMNA ENTRADA PESPE;ago-22;ago-23;;;;;;;X;;;;;;;;;;;;;;
106;CO2;20 LIBRAS ;DEPOSITO DE LA CHATARRA ;nov-23;nov-23;;;X;;REVISAR;;N/A;;X;;X;;X;;X;;X;;X;;
107;MULTIPO;150 LIBRAS;TANQUE DE ACPM;mar-23;mar-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 1;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 2;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 3;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 4;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 5;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ene-24;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 6;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 7;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jul-23;jul-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 8;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ene-24;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 9;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 10;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ago-23;ago-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 11;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;nov-23;nov-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 12;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ene-24;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 13;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ago-23;ago-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 14;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ene-24;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 15;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;ene-24;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 16;H2O;2.5 GLS;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
